song_id,recommender_id,song_artist,song_title,year,youtube_link,wav_file
20,5,Sir Chloe,Holy,2025,https://www.youtube.com/watch?v=efh79dx_e90&list=RDefh79dx_e90&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//20.wav
21,5,Push Ups,Doberman,2023,https://www.youtube.com/watch?v=EAju-Bg9kMM&list=RDEAju-Bg9kMM&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//21.wav
22,5,El Mató a un Policia Motorizado,Fuego,2017,https://www.youtube.com/watch?v=kn32hxE7pCw,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//22.wav
23,5,El Otro Grupo,Fragmento,2020,https://www.youtube.com/watch?v=-8zgTc7Vh0w&list=RD-8zgTc7Vh0w&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//23.wav
24,6,Basket Case,Green Day,1994,https://www.youtube.com/watch?v=VKjEdYrx9P0&list=RDVKjEdYrx9P0&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//24.wav
25,6,Piano Man,Billy Joel,1973,https://www.youtube.com/watch?v=gxEPV4kolz0&list=RDgxEPV4kolz0&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//25.wav
26,6,Enemy,Imagine Dragons & JID,2021,https://www.youtube.com/watch?v=D9G1VOjN_84&list=RDD9G1VOjN_84&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//26.wav
27,6,Viva la Vida, Coldplay,2008,https://www.youtube.com/watch?v=dvgZkm1xWPE&list=RDdvgZkm1xWPE&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//27.wav
28,6,Dial Drunk,Noah Kahan,2023,https://www.youtube.com/watch?v=m9Kev73C2cc&list=RDm9Kev73C2cc&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//28.wav
29,7,Teach me how to Dougie,Cali Swag District,2010,https://www.youtube.com/watch?v=PIHtUxnRN0c&list=RDPIHtUxnRN0c&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//29.wav
30,7,Ordinary,Alex Warren,2025,https://www.youtube.com/watch?v=u2ah9tWTkmk&list=RDu2ah9tWTkmk&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//30.wav
31,7,"Zoo (From ""Zootopia 2"")",Disney & Shakira,2025,https://www.youtube.com/watch?v=Xry6B0I3pT8&list=RDXry6B0I3pT8&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//31.wav
32,7,月之非主流,Y.U,2020,https://www.youtube.com/watch?v=3qfSSaG0vIM&list=RD3qfSSaG0vIM&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//32.wav
33,7,make up your mind,mj apanay,2023,https://www.youtube.com/watch?v=hhiqpsNhWwA,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//33.wav
34,7,亮片,驴儿,2024,https://www.youtube.com/watch?v=8gN9guYzX5s&list=RD8gN9guYzX5s&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//34.wav
